Thursday, October 22, 2015 8:13:05 AM,2,2,1
Friday, March 4, 2016 5:30:48 PM,2,2,1
Friday, March 4, 2016 5:44:20 PM,2,2,1
Friday, March 4, 2016 5:44:48 PM,2,2,1
Friday, March 4, 2016 5:45:13 PM,2,2,1
Friday, March 4, 2016 7:50:11 PM,2,2,1
Friday, March 4, 2016 7:52:13 PM,2,2,1
Friday, March 4, 2016 7:54:57 PM,2,2,1
Friday, March 4, 2016 8:00:30 PM,2,2,1
Friday, March 4, 2016 8:45:11 PM,2,2,1
Friday, March 4, 2016 8:46:02 PM,2,2,1
Friday, March 4, 2016 8:49:56 PM,2,2,1
Friday, March 4, 2016 8:54:50 PM,2,2,1
Friday, March 4, 2016 8:55:36 PM,2,2,1
Friday, March 4, 2016 8:58:20 PM,2,2,1
Friday, March 4, 2016 9:09:14 PM,2,2,1
Friday, March 4, 2016 9:13:59 PM,2,2,1
Friday, March 4, 2016 9:18:22 PM,2,2,1
Friday, March 4, 2016 9:26:06 PM,2,2,1
Friday, March 4, 2016 9:27:39 PM,2,2,1
Friday, March 4, 2016 9:31:50 PM,2,2,1
Friday, March 4, 2016 9:41:06 PM,2,2,1
Friday, March 4, 2016 9:49:22 PM,2,2,1
Friday, March 4, 2016 9:53:38 PM,2,2,1
Friday, March 4, 2016 9:56:40 PM,2,2,1
Friday, March 4, 2016 9:58:30 PM,2,4,1
Friday, March 4, 2016 10:13:12 PM,2,2,1
Friday, March 4, 2016 10:18:09 PM,2,2,1
Friday, March 4, 2016 10:23:48 PM,2,2,1
Friday, March 4, 2016 10:25:55 PM,2,2,1
Friday, March 4, 2016 10:27:54 PM,2,2,1
Friday, March 4, 2016 10:29:57 PM,4,2,1
Friday, March 4, 2016 10:37:18 PM,4,2,1
Friday, March 4, 2016 10:58:34 PM,4,2,1
Friday, March 4, 2016 11:06:01 PM,4,2,1
Saturday, March 5, 2016 12:04:09 AM,4,2,1
Saturday, March 5, 2016 12:07:21 AM,4,2,1
Saturday, March 5, 2016 12:29:11 AM,4,2,1
Sunday, March 6, 2016 11:46:31 AM,4,2,1
Sunday, March 6, 2016 12:32:43 PM,4,2,1
Sunday, March 6, 2016 1:31:20 PM,4,2,1
